@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
18737.632, 31747.46
18718.127, 31739.057
18735.136, 31726.826
18748.762, 31710.147
18764.082, 31694.579
18781.944, 31681.236
18795.566, 31665.669
18809.197, 31646.766
18816.02, 31634.534
18816.869, 31634.534
18833.882, 31621.191
18849.194, 31608.959
18862.82, 31592.28
18879.844, 31574.489
18896.874, 31554.474
18913.052, 31535.571
18931.814, 31502.212
18954.846, 31458.846
18971.05, 31429.935
18986.425, 31393.241
18994.15, 31359.883
19004.377, 31344.315
19022.274, 31317.629
19045.333, 31264.255
19057.272, 31243.128
19052.974, 31264.255
19037.596, 31302.061
19032.474, 31313.181
19023.081, 31334.308
19012.845, 31353.211
19003.455, 31373.226
18989.81, 31397.689
18978.725, 31416.592
18969.341, 31434.383
18952.277, 31467.742
18932.657, 31504.436
18918.16, 31530.011
18907.925, 31548.914
18901.954, 31560.033
18883.257, 31567.817
18867.944, 31580.049
18854.324, 31594.504
18852.576, 31614.519
18866.118, 31631.198
18872.896, 31636.758
18878.783, 31658.997
18889.759, 31683.46
18893.071, 31716.818
18894.702, 31743.505
18892.088, 31770.192
18891.141, 31809.11
18896.66, 31978.126
18894.255, 31921.417
18892.705, 31862.484
18896.537, 32027.052
18888.009, 32042.619
18858.282, 32048.179
18809.887, 32050.403
18758.102, 32050.403
18702.075, 32049.291
18645.193, 32050.403
18604.433, 32054.851
18580.657, 32057.075
18536.488, 32067.082
18477.011, 32088.209
18427.723, 32108.224
18401.379, 32119.344
18364.013, 32124.904
18328.309, 32144.919
18301.103, 32161.598
18272.183, 32184.949
18248.356, 32208.3
18218.588, 32231.651
18191.358, 32258.338
18167.513, 32289.472
18141.117, 32322.831
18113.877, 32353.965
18091.733, 32383.988
18057.737, 32400.667
18024.614, 32407.339
18010.225, 32389.548
18006.042, 32363.973
18009.501, 32337.286
18007.843, 32320.607
18023.949, 32330.614
18029.05, 32327.278
18038.436, 32307.263
18062.267, 32281.689
18081.861, 32252.778
18088.751, 32211.636
18090.545, 32171.606
18103.343, 32144.919
18128.002, 32128.24
18142.48, 32109.336
18163.714, 32104.889
18195.108, 32111.56
18220.563, 32117.12
18250.272, 32118.232
18281.691, 32114.896
18310.587, 32101.553
18336.066, 32097.105
18360.688, 32095.993
18382.776, 32089.321
18399.787, 32075.978
18426.162, 32052.627
18455.099, 32022.604
18484.026, 31997.03
18506.153, 31974.791
18522.316, 31961.447
18537.641, 31943.656
18558.073, 31920.305
18578.503, 31898.066
18601.482, 31874.715
18618.508, 31855.812
18621.115, 31831.349
18625.423, 31805.774
18646.694, 31786.871
18666.245, 31776.864
18688.338, 31769.08
18703.647, 31757.96
18709.64, 31737.945
18722.416, 31721.266
18737.73, 31707.923
18753.048, 31693.467
18766.657, 31683.46
18777.713, 31675.676
18796.412, 31666.781
18811.716, 31657.885
18827.883, 31643.43
18840.654, 31628.974
18847.496, 31608.959
