@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
27757.955, 35214.833
27762.166, 35209.451
27760.461, 35211.675
27757.919, 35210.563
27763.95, 35186.1
27780.171, 35159.413
27783.525, 35170.533
27814.885, 35180.54
27834.419, 35176.093
27865.924, 35147.182
27894.014, 35123.831
27889.87, 35097.144
27879.814, 35062.674
27896.14, 35008.188
27916.708, 34953.703
27930.439, 34912.561
27957.83, 34849.179
27998.845, 34773.567
28079.098, 34644.581
28029.586, 34722.417
28049.225, 34690.171
28068.864, 34657.924
28073.981, 34651.252
28082.513, 34639.021
28084.223, 34635.685
28085.08, 34633.461
28087.634, 34631.237
28090.192, 34627.902
28091.054, 34624.566
28088.528, 34619.006
28084.306, 34613.446
28079.239, 34606.774
28072.475, 34600.103
28067.403, 34594.543
28064.021, 34591.207
28062.328, 34590.095
28062.32, 34592.319
28060.627, 34591.207
28057.232, 34591.207
28052.14, 34591.207
28046.195, 34592.319
28041.099, 34593.431
28039.398, 34594.543
28038.549, 34594.543
28037.705, 34593.431
28036.012, 34592.319
28034.323, 34590.095
28032.638, 34586.759
28031.806, 34582.312
28033.524, 34576.752
28036.935, 34572.304
28040.342, 34568.968
28044.598, 34565.632
28050.538, 34565.632
28057.319, 34567.856
28063.243, 34572.304
28069.159, 34578.976
28073.377, 34585.647
28077.587, 34594.543
28081.801, 34602.327
28085.167, 34610.11
28089.385, 34616.782
28092.755, 34623.454
28096.977, 34629.013
28101.2, 34634.573
28106.275, 34639.021
28110.506, 34642.357
28115.594, 34643.469
28119.841, 34642.357
28121.555, 34637.909
28120.723, 34633.461
28119.042, 34629.013
28115.664, 34624.566
28111.446, 34617.894
28108.925, 34611.222
28106.4, 34605.663
28103.875, 34600.103
28101.349, 34594.543
28098.816, 34591.207
28097.976, 34588.983
28097.135, 34586.759
28096.291, 34585.647
28096.295, 34584.535
28096.299, 34583.424
28097.156, 34581.2
28097.16, 34580.088
28098.005, 34581.2
28097.156, 34581.2
28096.303, 34582.312
28095.45, 34583.424
28094.598, 34584.535
28093.749, 34584.535
28096.299, 34583.424
28097.152, 34582.312
28097.164, 34578.976
28097.177, 34575.64
28098.038, 34572.304
28098.895, 34570.08
28103.995, 34567.856
28106.533, 34570.08
28109.07, 34572.304
28113.289, 34578.976
28114.969, 34583.424
28117.499, 34587.871
28120.028, 34592.319
28125.944, 34598.991
28123.41, 34595.655
28127.624, 34603.439
28130.162, 34605.663
28133.544, 34608.998
28136.93, 34611.222
28140.312, 34614.558
28144.547, 34616.782
28147.934, 34619.006
28151.312, 34623.454
28154.69, 34627.902
28158.891, 34639.021
28159.719, 34644.581
28159.694, 34651.252
28157.984, 34654.588
28154.581, 34656.812
28151.179, 34659.036
28147.776, 34661.26
28143.524, 34663.484
28139.273, 34665.708
28135.87, 34667.932
28133.315, 34670.156
28131.61, 34672.379
28130.753, 34674.603
28131.581, 34680.163
28135.803, 34685.723
28155.214, 34714.634
28181.372, 34754.664
28208.386, 34792.47
28230.329, 34824.717
28256.495, 34862.523
28248.841, 34866.971
28235.354, 34842.508
28206.66, 34800.254
28181.338, 34763.559
28136.619, 34694.618
28118.052, 34666.82
28094.407, 34635.685
28065.685, 34600.103
28058.064, 34595.655
28037.705, 34593.431
27996.792, 34641.245
27966.94, 34681.275
27925.113, 34746.88
27885.808, 34819.157
27840.486, 34912.561
27818.2, 34972.606
27787.317, 35062.674
27753.004, 35162.749
27728.965, 35238.362
27698.068, 35332.877
27663.762, 35431.841
27630.276, 35538.588
27597.656, 35640.887
27573.636, 35712.052
27537.583, 35825.471
27515.245, 35901.083
27494.609, 35975.584
27483.245, 36066.764
27509.398, 36107.906
27541.502, 36145.712
27527.653, 36220.213
27447.869, 36227.997
27399.6, 36202.422
27326.757, 36167.951
27223.424, 36117.914
27155.662, 36085.667
27069.269, 36043.413
26987.974, 35998.935
26960.898, 35977.808
26937.208, 35958.905
26917.019, 35909.979
26912.166, 35843.262
26897.921, 35793.224
26809.045, 35732.067
26726.852, 35699.821
26659.065, 35673.134
26532.771, 35634.216
26424.253, 35607.529
26337.749, 35594.185
26183.35, 35584.178
26058.611, 35585.29
25938.928, 35596.409
25812.424, 35617.536
25679.961, 35644.223
25540.711, 35670.91
25401.466, 35696.485
25264.768, 35722.06
25128.915, 35748.746
25003.256, 35772.097
24887.78, 35795.448
24781.643, 35817.687
24676.358, 35838.814
24575.309, 35862.165
24479.333, 35891.076
24407.998, 35909.979
24317.999, 35927.77
24239.88, 35945.561
24227.102, 35961.129
24217.697, 35983.368
24212.509, 36013.39
24211.51, 36060.092
24215.599, 36107.906
24236.664, 36153.496
24258.631, 36182.407
24271.301, 36200.198
24283.118, 36219.101
24300.85, 36245.788
24305.02, 36268.027
24291.484, 36255.795
24280.508, 36239.116
24264.452, 36219.101
24242.499, 36185.742
24223.912, 36161.28
24202.016, 36110.13
24194.519, 36066.764
24196.359, 36022.286
24183.739, 35988.927
24165.133, 35970.024
24147.422, 35936.666
24137.372, 35895.524
24146.798, 35866.613
24153.658, 35844.374
24152.0, 35832.143
24152.809, 35844.374
24175.715, 35845.486
24195.22, 35848.822
24223.175, 35863.277
24262.217, 35859.941
24321.645, 35849.934
24392.948, 35841.038
24489.707, 35832.143
24554.227, 35822.135
24670.542, 35801.008
24743.558, 35787.665
24867.515, 35765.426
24955.813, 35749.858
25015.246, 35738.739
25105.242, 35723.172
25178.267, 35707.604
25231.757, 35697.597
25266.569, 35690.925
25342.141, 35675.358
25426.201, 35658.678
25516.198, 35643.111
25608.753, 35624.208
25679.227, 35610.865
25803.193, 35587.514
25901.689, 35568.611
26008.647, 35556.379
26119.829, 35549.707
26227.582, 35553.043
26342.097, 35564.163
26461.667, 35585.29
26573.576, 35613.089
26675.282, 35646.447
26769.346, 35680.917
26860.019, 35714.276
26944.756, 35746.522
27024.401, 35778.769
27095.593, 35802.12
27149.121, 35782.105
27177.291, 35735.403
27175.743, 35694.261
27119.928, 35641.999
27055.408, 35650.895
27011.117, 35697.597
26985.437, 35759.866
26963.181, 35814.351
26946.015, 35868.837
26947.545, 35915.539
26983.819, 35974.472
27021.909, 36000.047
27062.557, 36022.286
27109.14, 36045.637
27152.344, 36064.54
27185.375, 36081.219
27204.854, 36091.227
27235.343, 36106.794
27285.314, 36131.257
27332.74, 36155.72
27411.511, 36193.526
27469.113, 36219.101
27508.155, 36215.765
27536.358, 36160.168
27505.951, 36122.361
27460.113, 36127.921
27440.497, 36155.72
27414.815, 36217.989
27389.951, 36289.154
27374.468, 36346.975
27374.367, 36374.774
27384.487, 36391.453
27385.332, 36392.565
27386.176, 36393.677
27387.021, 36394.789
27384.394, 36417.028
27382.592, 36445.939
27368.879, 36483.745
27373.053, 36502.648
27407.729, 36532.671
27436.499, 36553.798
27457.75, 36542.678
27487.535, 36518.215
27514.762, 36497.088
27536.882, 36480.409
27556.445, 36467.066
27574.324, 36450.386
27592.198, 36434.819
27616.864, 36418.14
27639.805, 36409.244
27659.384, 36391.453
27677.251, 36378.11
27692.552, 36370.326
27694.245, 36371.438
27709.586, 36352.535
27733.409, 36334.744
27782.771, 36293.602
27819.386, 36258.019
27876.485, 36190.19
27922.488, 36140.153
27958.223, 36113.466
27976.98, 36089.003
27998.296, 36061.204
28039.201, 36013.39
28073.29, 35973.36
28105.708, 35926.658
28136.433, 35878.844
28169.695, 35833.255
28201.248, 35791.0
28231.097, 35750.97
28258.375, 35717.612
28286.48, 35689.813
28322.244, 35656.455
28363.087, 35626.432
28407.332, 35594.185
28439.669, 35569.723
28483.101, 35528.58
28504.479, 35485.214
28531.809, 35438.513
28551.457, 35404.042
28560.014, 35385.139
28562.648, 35361.788
28555.974, 35331.765
28545.888, 35306.191
28534.114, 35278.392
28520.638, 35251.705
28503.75, 35229.466
28485.166, 35207.227
28472.5, 35190.548
28453.096, 35160.525
28442.989, 35140.51
