@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
28251.124, 32483.252
28242.504, 32484.063
28203.31, 32522.982
28168.377, 32557.452
28139.411, 32585.251
28108.743, 32614.161
28071.256, 32650.856
28032.063, 32689.774
27992.871, 32728.692
27955.385, 32765.386
27917.891, 32804.305
27884.641, 32843.223
27869.222, 32881.029
27838.598, 32898.82
27800.334, 32916.612
27760.3, 32954.418
27715.143, 33000.008
27669.139, 33045.598
27624.837, 33090.076
27583.102, 33128.994
27551.607, 33153.457
27558.307, 33177.92
27586.167, 33219.062
27624.205, 33262.428
27669.032, 33305.794
27712.152, 33351.384
27750.205, 33390.302
27758.59, 33418.101
27746.555, 33459.243
27737.088, 33494.825
27729.293, 33537.079
27718.923, 33587.117
27706.84, 33641.603
27696.491, 33686.08
27690.473, 33707.208
27675.138, 33722.775
27636.12, 33716.103
27585.232, 33706.096
27536.885, 33697.2
27485.152, 33686.08
27443.6, 33676.073
27416.464, 33669.401
27376.609, 33659.394
27342.683, 33652.722
27351.223, 33638.267
27378.359, 33644.938
27408.037, 33652.722
27424.151, 33656.058
27447.047, 33661.618
27466.544, 33668.289
27505.542, 33680.521
27536.922, 33687.192
27566.608, 33692.752
27598.832, 33700.536
27632.753, 33708.319
27661.586, 33714.991
27681.067, 33726.111
27679.275, 33751.685
27673.248, 33775.036
27666.344, 33806.171
27656.885, 33839.529
27652.556, 33862.88
27649.087, 33882.896
27643.011, 33919.59
27634.373, 33960.732
27626.628, 33989.643
27636.752, 34006.322
27666.432, 34012.994
27711.381, 34021.889
27764.805, 34034.121
27804.658, 34044.128
27830.099, 34049.688
27861.476, 34056.36
27905.572, 34066.367
27957.298, 34078.599
27996.306, 34087.494
28015.801, 34094.166
28030.167, 34110.845
28025.837, 34134.196
28015.495, 34176.45
28002.549, 34234.271
27990.452, 34292.093
27983.514, 34332.123
27978.29, 34367.705
27982.343, 34418.855
27991.48, 34472.229
27999.014, 34500.027
28004.024, 34522.266
28009.927, 34532.274
28022.591, 34550.065
28033.528, 34575.64
28027.467, 34607.886
28000.182, 34642.357
27972.889, 34679.051
27944.727, 34721.305
27912.277, 34775.791
27877.24, 34841.396
27852.436, 34893.657
27816.42, 34994.845
27787.235, 35084.913
27757.206, 35173.869
27724.616, 35267.272
27692.026, 35360.676
27659.429, 35456.304
27625.968, 35556.379
27591.655, 35657.567
27562.471, 35748.746
27531.587, 35841.038
27500.695, 35935.554
27468.935, 36035.629
