@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
18894.499, 31607.58
18891.643, 31608.959
18891.646, 31607.847
18890.808, 31603.4
18891.654, 31604.511
18892.503, 31604.511
18890.811, 31602.288
18891.663, 31601.176
18895.056, 31602.288
18893.339, 31610.071
18893.336, 31611.183
18890.78, 31614.519
18891.632, 31613.407
18873.776, 31624.527
18877.119, 31645.654
18889.814, 31661.221
18911.818, 31689.02
18915.979, 31722.378
18916.767, 31746.841
18916.714, 31767.968
18914.086, 31800.215
18912.29, 31839.133
18909.537, 31921.417
18911.343, 31878.051
18911.131, 31962.559
18912.505, 32091.545
18911.025, 32004.813
18911.796, 32035.948
18911.74, 32058.187
18912.385, 32139.359
18917.364, 32184.949
18918.152, 32209.412
18904.541, 32220.531
18877.376, 32220.531
18841.715, 32222.755
18806.901, 32226.091
18786.53, 32224.979
18766.991, 32230.539
18741.507, 32237.211
18713.471, 32246.106
18688.83, 32255.002
18667.596, 32259.45
18665.84, 32282.801
18673.412, 32310.599
18660.645, 32323.943
18636.016, 32328.39
18614.782, 32332.838
18579.106, 32341.734
18560.43, 32341.734
18547.743, 32322.831
18537.641, 32288.36
18564.853, 32269.457
18586.098, 32260.562
18590.348, 32258.338
18610.757, 32243.882
18635.392, 32237.211
18647.313, 32222.755
18641.439, 32194.957
18631.324, 32166.046
18619.516, 32134.911
18611.955, 32102.665
18603.537, 32073.754
18576.366, 32075.978
18539.845, 32082.65
18510.116, 32089.321
18474.431, 32101.553
18447.241, 32111.56
18420.056, 32119.344
18383.533, 32127.128
18349.519, 32150.479
18319.755, 32171.606
18289.132, 32197.18
18257.651, 32226.091
18226.179, 32251.666
18202.37, 32268.345
18176.854, 32288.36
18143.65, 32328.39
18111.311, 32361.749
18067.972, 32380.652
18035.679, 32395.107
18009.352, 32399.555
17971.972, 32411.787
17942.213, 32431.802
17939.661, 32434.026
17922.659, 32444.033
17898.877, 32449.593
17870.847, 32456.265
17852.999, 32465.16
17847.911, 32462.936
17862.364, 32454.041
17892.101, 32442.921
17926.084, 32431.802
17958.368, 32420.682
17989.806, 32408.451
18017.839, 32400.667
18032.31, 32383.988
18036.634, 32350.629
18043.505, 32317.271
18057.165, 32285.024
18076.749, 32260.562
18099.723, 32238.323
18121.136, 32159.374
18112.542, 32202.74
18149.223, 32129.352
18171.351, 32106.001
18202.775, 32100.441
18250.286, 32112.672
18295.252, 32123.792
18303.742, 32123.792
18335.147, 32126.016
18373.362, 32120.456
18401.401, 32110.448
18422.676, 32089.321
18451.613, 32059.299
18484.796, 32029.276
18511.176, 32003.701
18549.479, 31962.559
18530.751, 31983.686
18566.516, 31939.208
18583.558, 31913.633
18602.298, 31888.059
18621.038, 31862.484
18633.817, 31844.693
18631.322, 31823.565
18650.043, 31805.774
18666.196, 31796.879
18676.411, 31785.759
18664.586, 31761.296
18654.465, 31734.61
18639.194, 31730.162
18621.33, 31744.617
18603.471, 31756.849
18579.675, 31766.856
18555.031, 31776.864
18533.784, 31785.759
18518.462, 31802.438
18501.453, 31814.67
18480.212, 31821.342
18460.67, 31828.013
18441.982, 31832.461
18454.678, 31848.028
18467.371, 31864.708
18471.57, 31883.611
18480.013, 31902.514
18490.146, 31924.753
18503.674, 31946.992
18516.365, 31964.783
18523.948, 31988.134
18525.63, 31994.806
18547.691, 31999.253
18563.848, 31988.134
18580.042, 31962.559
18592.828, 31941.432
18605.612, 31921.417
18619.154, 31938.096
18636.08, 31959.223
18657.213, 31995.918
18674.126, 32022.604
18691.887, 32049.291
18705.434, 32063.747
18734.298, 32063.747
18770.816, 32058.187
18814.126, 32052.627
18854.043, 32045.955
18889.701, 32044.843
18922.813, 32043.731
18966.108, 32043.731
19015.347, 32043.731
19067.121, 32048.179
19117.205, 32049.291
19167.296, 32048.179
19215.685, 32048.179
19258.132, 32048.179
19293.785, 32049.291
19309.057, 32052.627
19331.109, 32060.411
19342.171, 32050.403
19337.12, 32033.724
19342.22, 32031.5
19343.077, 32028.164
19343.071, 32030.388
19334.562, 32038.172
19315.863, 32047.067
19267.462, 32051.515
19230.955, 32052.627
19173.218, 32055.963
19122.276, 32058.187
19066.244, 32059.299
19013.601, 32062.635
18965.209, 32063.747
18928.722, 32057.075
18911.732, 32061.523
18892.189, 32068.194
18853.108, 32080.426
18809.781, 32092.657
18761.356, 32107.113
18709.544, 32118.232
18648.396, 32128.24
18593.202, 32133.799
18542.244, 32142.695
18487.916, 32141.583
18453.101, 32144.919
18422.535, 32147.143
18391.984, 32142.695
18362.253, 32150.479
18335.895, 32167.158
18312.079, 32186.061
18287.407, 32208.3
18262.745, 32226.091
18237.253, 32236.099
18212.594, 32252.778
18187.084, 32270.569
18159.865, 32292.808
18140.281, 32317.271
18122.4, 32339.51
18105.377, 32358.413
18083.263, 32376.204
18059.459, 32390.66
18036.509, 32402.891
18018.661, 32411.787
17992.319, 32422.906
17950.68, 32440.697
17907.352, 32455.153
17864.032, 32466.272
17818.177, 32472.944
17774.891, 32469.608
17761.314, 32467.384
17778.271, 32476.28
17803.74, 32475.168
17830.913, 32471.832
17859.783, 32468.496
17889.502, 32465.16
17918.38, 32458.488
17946.42, 32447.369
17973.606, 32438.473
18003.328, 32434.026
18031.339, 32435.138
18046.656, 32419.57
18051.805, 32396.219
18050.185, 32363.973
18057.916, 32326.167
18062.224, 32299.48
18068.223, 32276.129
18085.244, 32258.338
18103.981, 32232.763
18105.759, 32199.404
18106.67, 32173.829
18116.926, 32144.919
18129.722, 32119.344
18145.918, 32091.545
18162.091, 32073.754
18196.011, 32089.321
18229.087, 32102.665
18257.061, 32119.344
18288.442, 32131.575
18318.149, 32133.799
18345.331, 32127.128
18362.32, 32122.68
18382.703, 32119.344
18403.091, 32113.784
18426.031, 32106.001
18448.979, 32094.881
18474.483, 32080.426
18495.747, 32063.747
18521.259, 32045.955
18537.465, 32014.821
18553.658, 31989.246
18570.698, 31964.783
18589.443, 31936.984
18611.582, 31910.298
18632.014, 31886.947
18644.793, 31869.155
18644.848, 31846.916
18638.93, 31836.909
18652.571, 31813.558
18655.972, 31811.334
18674.672, 31802.438
18690.83, 31791.319
18705.298, 31776.864
18720.615, 31762.408
18733.391, 31745.729
18748.714, 31729.05
18764.881, 31714.594
18780.196, 31701.251
18793.818, 31685.684
18808.29, 31670.116
18821.069, 31652.325
18838.923, 31642.318
18857.636, 31627.862
18875.499, 31614.519
18889.121, 31598.952
18901.055, 31580.049
18917.236, 31560.033
18930.013, 31543.354
18953.005, 31515.556
18972.619, 31481.085
18983.718, 31456.622
18993.968, 31432.159
19002.528, 31404.361
19007.675, 31383.234
19019.626, 31357.659
19037.486, 31345.427
19074.942, 31306.509
19100.494, 31274.263
19135.527, 31186.419
19155.247, 31110.806
19173.247, 31044.089
19195.492, 30977.372
19218.57, 30917.327
19242.48, 30863.953
19265.522, 30818.363
19280.039, 30786.117
19290.276, 30767.214
19292.829, 30764.99
19301.368, 30746.087
19320.102, 30724.96
19356.644, 30712.728
19426.215, 30733.855
19494.102, 30749.422
19558.583, 30768.326
19626.469, 30783.893
19702.857, 30795.012
19780.118, 30797.236
19865.881, 30795.012
19949.945, 30792.788
20030.617, 30789.453
20107.046, 30785.005
20178.386, 30778.333
20246.331, 30771.661
20313.423, 30766.102
20380.513, 30761.654
20448.458, 30754.982
20518.101, 30748.311
20590.294, 30740.527
20659.947, 30730.519
20723.65, 30722.736
20765.273, 30716.064
20777.167, 30713.84
20802.648, 30710.504
20823.882, 30708.28
20843.429, 30701.609
20863.863, 30681.594
20880.045, 30663.802
20890.24, 30661.578
20898.725, 30663.802
20898.725, 30663.802
20897.882, 30661.578
20894.486, 30661.578
20891.951, 30657.131
20891.105, 30656.019
20892.815, 30651.571
20909.773, 30660.467
20922.463, 30677.146
20936.857, 30691.601
20958.921, 30696.049
20982.692, 30697.161
21007.316, 30697.161
21032.801, 30692.713
21065.082, 30687.153
21110.1, 30681.594
21163.608, 30676.034
21217.969, 30669.362
21272.326, 30663.802
21325.835, 30658.243
21382.74, 30652.683
21434.554, 30646.011
21483.814, 30641.563
21539.022, 30636.004
21595.078, 30630.444
21647.738, 30624.884
21704.644, 30619.324
21736.073, 30614.877
21766.647, 30612.653
21823.556, 30605.981
21873.676, 30598.197
21908.518, 30588.19
21909.467, 30553.719
21874.686, 30542.6
21833.048, 30553.719
21805.764, 30592.638
21786.942, 30641.563
21769.822, 30689.377
21792.654, 30721.624
21833.42, 30718.288
21870.844, 30696.049
21884.523, 30663.802
21859.964, 30641.563
21807.317, 30642.675
21735.97, 30650.459
21662.07, 30660.467
21586.482, 30667.138
21509.189, 30676.034
21424.257, 30683.817
21335.074, 30693.825
21249.291, 30702.721
21170.304, 30710.504
21096.415, 30717.176
21076.03, 30719.4
21013.179, 30726.072
20917.204, 30736.079
20824.633, 30743.863
20732.91, 30751.646
20638.634, 30761.654
20542.658, 30772.773
20444.137, 30782.781
20346.463, 30793.9
20253.889, 30802.796
20162.162, 30812.804
20072.142, 30819.475
19982.128, 30823.923
19895.513, 30827.259
19819.091, 30829.483
19746.916, 30830.595
19675.582, 30835.043
19597.453, 30840.602
19515.047, 30858.394
19447.941, 30869.513
19387.649, 30872.849
19361.33, 30871.737
19338.405, 30871.737
19290.023, 30866.177
19264.542, 30869.513
19250.056, 30889.528
19239.811, 30911.767
19228.708, 30937.342
19215.864, 30979.596
19208.109, 31024.074
19207.098, 31087.455
19208.66, 31140.829
19212.795, 31184.195
19211.872, 31213.105
19190.629, 31219.777
19149.03, 31218.665
19128.642, 31223.113
19108.248, 31229.785
19087.815, 31252.024
19071.619, 31277.598
19059.673, 31300.949
19047.717, 31328.748
19040.016, 31352.099
19037.453, 31358.771
19028.901, 31383.234
19014.392, 31413.256
18997.336, 31443.279
18984.539, 31467.742
18968.327, 31499.988
18954.664, 31531.123
18940.173, 31554.474
18924.849, 31571.153
18912.075, 31586.72
18906.115, 31593.392
18895.922, 31595.616
18880.604, 31610.071
18864.442, 31622.303
18849.968, 31638.982
18833.795, 31655.661
18819.315, 31674.564
18804.833, 31694.579
18787.806, 31713.482
18772.486, 31729.05
18756.319, 31743.505
18740.158, 31755.737
18725.69, 31770.192
18704.408, 31793.543
18682.285, 31813.558
18667.819, 31826.901
18654.195, 31843.581
18646.526, 31854.7
18631.198, 31873.603
18615.876, 31890.282
18601.405, 31905.85
18585.239, 31920.305
18554.614, 31945.88
18535.036, 31967.007
18522.261, 31983.686
18494.159, 32019.269
18466.078, 32045.955
18438.0, 32071.53
18416.731, 32090.433
18400.563, 32106.001
18383.549, 32120.456
18363.129, 32139.359
18337.618, 32157.15
18309.549, 32179.389
18280.618, 32207.188
18244.896, 32234.987
18209.172, 32263.897
18180.22, 32300.592
18150.42, 32337.286
18120.63, 32369.533
18086.608, 32397.331
18053.45, 32418.458
18028.805, 32429.578
18009.243, 32445.145
18000.712, 32462.936
17989.578, 32504.078
17986.938, 32542.997
17994.491, 32579.691
18009.669, 32621.945
18028.243, 32664.199
18044.287, 32699.781
18056.942, 32732.028
18067.935, 32749.819
18090.027, 32740.924
18115.535, 32723.132
18140.203, 32702.005
18174.222, 32675.319
18207.398, 32646.408
18239.728, 32616.385
18270.346, 32591.922
18296.716, 32569.683
18323.934, 32547.444
18352.861, 32520.758
18377.541, 32495.183
18403.07, 32469.608
18427.742, 32447.369
18448.162, 32428.466
18474.505, 32417.346
18510.181, 32408.451
18550.098, 32400.667
18596.812, 32390.66
18637.579, 32382.876
18679.197, 32373.98
18718.268, 32365.085
18759.046, 32352.853
18799.805, 32348.406
18842.253, 32347.294
18880.448, 32349.517
18910.16, 32349.517
18916.995, 32331.726
18914.533, 32298.368
18912.935, 32258.338
18911.349, 32213.86
18909.766, 32168.27
18909.883, 32121.568
18909.978, 32083.762
18912.586, 32059.299
