@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
27414.704, 36371.816
27407.44, 36379.222
27404.895, 36379.222
27403.19, 36381.446
27401.493, 36381.446
27398.026, 36401.461
27396.212, 36433.707
27394.414, 36461.506
27382.442, 36487.081
27386.616, 36505.984
27411.131, 36530.447
27435.663, 36550.462
27454.292, 36560.469
27478.941, 36548.238
27510.43, 36521.551
27547.875, 36490.417
27592.961, 36458.17
27627.0, 36430.371
27650.826, 36411.468
27674.648, 36393.677
27718.034, 36362.542
27758.018, 36333.632
27790.354, 36308.057
27821.009, 36278.034
27854.231, 36242.452
27887.486, 36197.974
27915.613, 36163.503
27950.512, 36133.481
27985.399, 36106.794
28013.523, 36073.436
28040.803, 36038.965
28080.02, 35988.927
28119.255, 35934.442
28150.828, 35886.628
28179.836, 35844.374
28207.134, 35805.456
28231.874, 35769.873
28259.16, 35734.291
28290.669, 35704.268
28323.026, 35674.246
28361.314, 35646.447
28407.257, 35614.201
28449.793, 35585.29
28484.692, 35556.379
28503.47, 35527.468
28519.723, 35492.998
28535.123, 35459.64
28547.97, 35428.505
28560.812, 35398.482
28572.789, 35372.908
28574.571, 35350.669
28567.052, 35319.534
28553.597, 35287.287
28541.046, 35240.586
28516.593, 35199.443
28490.413, 35166.085
28465.086, 35131.615
28442.3, 35098.256
28414.41, 35068.233
28391.611, 35038.211
28374.74, 35011.524
28353.629, 34983.725
28335.897, 34960.374
28323.255, 34937.023
28310.601, 34917.008
28289.495, 34888.098
28259.944, 34848.067
28228.716, 34802.478
28196.655, 34752.44
28162.906, 34700.178
28138.432, 34663.484
28130.84, 34651.252
28122.399, 34639.021
28113.959, 34626.79
28104.665, 34615.67
28097.065, 34605.663
28090.309, 34596.767
28083.544, 34590.095
28080.171, 34584.535
28081.032, 34581.2
28083.578, 34581.2
28086.107, 34585.647
28088.64, 34588.983
28091.166, 34594.543
28094.535, 34601.215
28096.208, 34607.886
28098.733, 34613.446
28102.107, 34619.006
28104.632, 34624.566
28108.01, 34629.013
28111.392, 34632.349
28115.619, 34636.797
28120.698, 34640.133
28126.626, 34643.469
28130.869, 34643.469
28135.121, 34641.245
28135.133, 34637.909
28132.6, 34634.573
28130.915, 34631.237
28128.386, 34626.79
28125.856, 34622.342
28124.18, 34616.782
28121.655, 34611.222
28119.974, 34606.774
28116.596, 34602.327
28114.058, 34600.103
28113.214, 34598.991
28111.529, 34595.655
28111.533, 34594.543
28122.52, 34606.774
28127.537, 34626.79
28128.303, 34649.029
28135.004, 34672.379
28154.407, 34703.514
28182.278, 34739.096
28210.99, 34776.903
28244.781, 34818.045
28270.942, 34856.963
28267.481, 34874.754
28253.991, 34851.403
28231.224, 34812.485
28205.075, 34770.231
28182.278, 34739.096
28145.142, 34684.611
28118.131, 34645.693
28095.334, 34614.558
28077.554, 34603.439
28053.755, 34613.446
28022.247, 34642.357
27984.745, 34685.723
27945.477, 34747.992
27908.73, 34816.933
27873.672, 34888.098
27841.998, 34962.598
27810.271, 35051.554
27778.507, 35150.518
27745.883, 35252.817
27709.875, 35352.892
27673.842, 35459.64
27640.344, 35569.723
27606.884, 35669.798
27575.15, 35762.09
27545.138, 35847.71
27522.788, 35926.658
27502.996, 36002.271
27504.457, 36066.764
27538.201, 36120.137
27555.812, 36176.847
27524.243, 36224.661
27465.695, 36225.773
27399.604, 36201.31
27329.302, 36167.951
27242.046, 36130.145
27155.654, 36087.891
27070.954, 36046.749
26992.2, 36003.383
26946.581, 35947.785
26928.165, 35877.732
26915.724, 35797.672
26863.286, 35749.858
26787.034, 35717.612
26703.974, 35690.925
26618.379, 35660.902
26521.752, 35630.88
26422.556, 35607.529
26326.722, 35593.073
26224.08, 35584.178
26116.327, 35580.842
26006.846, 35586.402
25898.18, 35601.969
25775.069, 35623.096
25647.713, 35645.335
25514.411, 35669.798
25380.253, 35696.485
25243.551, 35723.172
25110.251, 35747.634
24978.649, 35772.097
24852.143, 35795.448
24733.274, 35818.799
24621.194, 35842.15
24522.68, 35868.837
24435.208, 35892.188
24349.444, 35912.203
24279.82, 35926.658
24240.735, 35943.337
24237.284, 35961.129
24229.59, 35978.92
24210.909, 35983.368
24184.634, 35974.472
24168.609, 35944.449
24161.953, 35903.307
24171.401, 35867.725
24177.359, 35862.165
24196.065, 35849.934
24218.957, 35855.494
24248.623, 35865.501
24289.369, 35859.941
24338.618, 35848.822
24400.585, 35841.038
24473.549, 35843.262
24544.842, 35837.702
24620.4, 35825.471
24702.749, 35812.127
24788.511, 35793.224
24883.619, 35770.985
24986.356, 35750.97
25091.639, 35730.955
25204.567, 35708.716
25325.129, 35687.589
25447.403, 35662.014
25573.069, 35637.551
25702.122, 35615.312
25821.83, 35596.409
25946.638, 35575.282
26079.049, 35564.163
26204.633, 35564.163
26335.273, 35574.17
26469.268, 35595.297
26597.284, 35627.544
26713.391, 35667.574
26813.386, 35704.268
26905.776, 35732.067
26992.206, 35765.426
27059.135, 35794.336
27118.487, 35806.568
27171.175, 35784.329
27195.142, 35726.507
27188.475, 35693.149
27169.059, 35665.35
27108.061, 35638.663
27049.428, 35662.014
27013.586, 35718.724
26983.605, 35797.672
26961.276, 35872.173
26970.379, 35936.666
27026.168, 35995.599
27093.063, 36033.405
27165.908, 36067.876
27241.294, 36103.458
27312.429, 36141.264
27384.424, 36175.735
27451.344, 36205.758
27500.506, 36219.101
27537.908, 36200.198
27548.249, 36156.832
27522.925, 36121.249
27481.337, 36124.585
27452.363, 36159.056
27432.67, 36207.981
27412.964, 36260.243
27398.354, 36311.393
27385.461, 36356.983
27385.376, 36380.334
27398.919, 36389.229
27399.772, 36388.117
27400.624, 36387.005
27401.477, 36385.893
27403.182, 36383.669
27404.03, 36383.669
27404.022, 36385.893
27402.321, 36387.005
27400.628, 36385.893
27390.418, 36393.677
27389.444, 36428.147
27385.913, 36465.954
27374.814, 36484.857
27384.082, 36502.648
27400.134, 36521.551
27429.72, 36551.574
27454.316, 36553.798
27484.117, 36524.887
27528.365, 36489.305
27582.804, 36451.498
27644.035, 36412.58
27707.836, 36366.99
27768.257, 36318.064
27829.539, 36265.803
27884.907, 36206.869
27929.263, 36143.488
27979.48, 36101.234
28024.632, 36052.309
28070.645, 36000.047
28114.979, 35943.337
28158.498, 35877.732
28202.009, 35814.351
28248.891, 35757.642
28293.198, 35708.716
28330.671, 35672.022
28372.375, 35638.663
28423.429, 35600.857
28471.099, 35560.827
28505.23, 35510.789
28535.128, 35458.528
28555.687, 35407.378
28574.465, 35378.467
28590.672, 35356.228
28616.265, 35320.646
28644.475, 35266.16
28665.914, 35207.227
28689.835, 35164.973
28710.316, 35134.95
28728.272, 35099.368
28744.552, 35058.226
