@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
28077.242, 34589.21
28095.455, 34582.312
28096.299, 34583.424
28096.295, 34584.535
28096.291, 34585.647
28096.287, 34586.759
28097.127, 34588.983
28097.971, 34590.095
28098.812, 34592.319
28099.652, 34594.543
28101.341, 34596.767
28102.186, 34597.879
28103.875, 34600.103
28104.719, 34601.215
28113.127, 34622.342
28120.69, 34642.357
28121.459, 34663.484
28137.484, 34690.171
28158.575, 34723.529
28183.056, 34758.0
28207.525, 34795.806
28232.846, 34832.5
28252.252, 34862.523
28252.177, 34882.538
28230.067, 34894.769
28203.709, 34908.113
28176.495, 34923.68
28146.727, 34941.471
28116.123, 34955.927
28093.182, 34963.71
28075.436, 34943.695
28055.169, 34917.008
28033.217, 34886.986
28011.281, 34852.515
27990.185, 34820.269
27974.976, 34802.478
27954.671, 34785.798
27927.581, 34768.007
27912.285, 34773.567
27896.894, 34804.701
27873.821, 34848.067
27846.463, 34902.553
27820.754, 34970.382
27793.307, 35049.33
27762.429, 35138.286
27729.822, 35236.138
27699.766, 35332.877
27668.017, 35428.505
27637.118, 35524.133
27607.084, 35615.312
27580.486, 35695.373
27557.315, 35766.538
27535.833, 35839.926
27512.635, 35918.875
27491.146, 35994.487
27482.417, 36061.204
27515.321, 36112.354
27544.834, 36162.392
27525.977, 36214.653
27471.606, 36233.556
27413.999, 36209.093
27353.015, 36180.183
27288.652, 36146.824
27218.349, 36113.466
27143.811, 36077.883
27060.796, 36040.077
26982.034, 35998.935
26928.77, 35945.561
26912.9, 35875.509
26897.893, 35801.008
26844.611, 35752.082
26774.291, 35722.06
26698.883, 35690.925
26614.981, 35662.014
26523.441, 35633.104
26426.791, 35609.753
26326.73, 35590.85
26219.837, 35584.178
26106.981, 35584.178
25989.008, 35591.962
25868.458, 35608.641
25744.495, 35630.88
25618.829, 35655.343
25490.622, 35678.694
25361.563, 35703.156
25233.354, 35727.619
25102.596, 35753.194
24970.142, 35778.769
24841.075, 35806.568
24712.862, 35833.255
24586.35, 35858.829
24471.693, 35892.188
24374.036, 35916.651
24282.337, 35935.554
24242.421, 35946.673
24222.82, 35973.36
24211.639, 36020.062
24210.633, 36068.988
24217.267, 36116.802
24236.642, 36160.168
24259.447, 36192.414
24272.973, 36207.981
24273.825, 36206.869
24285.653, 36222.437
24295.784, 36238.004
24286.483, 36227.997
24274.662, 36210.205
24256.916, 36187.966
24233.267, 36154.608
24212.209, 36106.794
24206.459, 36047.861
24208.328, 35994.487
24195.647, 35980.032
24162.598, 35966.688
24142.384, 35919.987
24141.693, 35871.061
24179.095, 35849.934
24222.312, 35867.725
24273.254, 35857.717
24335.231, 35846.598
24403.975, 35842.15
24476.962, 35837.702
24560.155, 35825.471
24651.001, 35808.792
24740.142, 35794.336
24830.136, 35778.769
24924.362, 35766.538
25027.944, 35747.634
25140.02, 35726.507
25258.043, 35703.156
25374.362, 35682.029
25492.387, 35658.678
25612.958, 35635.328
25734.378, 35611.977
25854.95, 35588.626
25978.057, 35568.611
26101.134, 35557.491
26225.014, 35559.715
26338.683, 35569.723
26451.473, 35588.626
26561.68, 35617.536
26662.542, 35649.783
26761.697, 35684.253
26859.992, 35722.06
26952.349, 35758.754
27032.847, 35789.888
27093.015, 35811.016
