@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
27570.039, 35998.935
27545.462, 35991.151
27530.294, 35962.241
27542.357, 35912.203
27554.378, 35873.285
27565.527, 35841.038
27571.593, 35806.568
27583.619, 35766.538
27598.178, 35729.843
27605.101, 35693.149
27617.956, 35658.678
27633.352, 35625.32
27654.61, 35613.089
27693.63, 35616.424
27690.171, 35634.216
27681.612, 35654.231
27673.901, 35674.246
27685.732, 35687.589
27710.351, 35684.253
27733.253, 35686.477
27753.614, 35687.589
27779.07, 35687.589
27796.077, 35677.582
27797.865, 35653.119
27803.079, 35619.76
27808.289, 35587.514
27810.962, 35553.043
27812.783, 35519.685
27816.292, 35488.55
27829.931, 35471.871
27863.024, 35471.871
27900.352, 35474.095
27933.442, 35475.207
27957.197, 35476.319
27979.292, 35467.423
28008.16, 35462.975
28041.261, 35460.752
28067.558, 35462.975
28104.882, 35466.311
28151.544, 35468.535
28196.509, 35470.759
28221.113, 35471.871
28250.804, 35474.095
28288.98, 35476.319
28325.468, 35476.319
28371.294, 35475.207
28417.956, 35477.431
28462.08, 35477.431
28490.927, 35478.543
28509.633, 35468.535
28521.635, 35436.289
28537.048, 35399.594
28556.679, 35369.572
28576.255, 35354.004
28606.913, 35325.094
28635.925, 35282.84
28659.876, 35232.802
28682.987, 35180.54
28704.35, 35141.622
28717.215, 35106.04
28735.205, 35061.562
28759.165, 35009.3
28791.608, 34958.15
28813.859, 34909.225
28844.576, 34865.859
28881.207, 34829.164
28899.122, 34804.701
28922.909, 34798.03
28956.143, 34762.447
28990.264, 34716.857
29015.007, 34682.387
29041.478, 34640.133
29068.849, 34584.535
29097.044, 34535.61
29132.86, 34491.132
29183.056, 34458.885
29227.26, 34439.982
29265.489, 34429.975
29295.275, 34408.848
29322.523, 34385.497
29347.265, 34352.138
29370.318, 34316.556
29388.275, 34282.085
29397.688, 34262.07
29407.115, 34238.719
29421.613, 34220.928
29449.715, 34196.465
29473.566, 34174.226
29498.291, 34145.316
29524.775, 34100.838
29553.815, 34054.136
29581.17, 34004.098
29613.653, 33945.165
29642.738, 33887.343
29665.859, 33835.082
29694.056, 33787.268
29720.53, 33746.126
29757.184, 33706.096
29808.281, 33662.73
29851.713, 33626.035
29879.797, 33607.132
29891.755, 33588.229
29865.54, 33563.766
29828.34, 33527.072
29789.411, 33498.161
29756.418, 33470.362
29733.624, 33439.228
29718.425, 33419.213
29699.866, 33390.302
29674.565, 33349.16
29635.678, 33309.13
29592.516, 33276.883
29551.909, 33242.413
29524.06, 33201.271
29507.245, 33160.128
29472.57, 33127.882
29433.551, 33121.21
29399.55, 33133.442
29387.511, 33173.472
29411.208, 33191.263
29438.43, 33175.696
29476.771, 33139.001
29526.185, 33092.3
29579.857, 33042.262
29634.414, 32983.329
29700.904, 32912.164
29776.754, 32835.439
29849.192, 32763.163
29919.05, 32699.781
29990.63, 32630.841
30063.063, 32560.788
30132.094, 32492.959
30205.375, 32424.018
30277.781, 32361.749
30314.427, 32326.167
30420.891, 32239.434
30489.914, 32174.941
30558.952, 32107.113
30628.827, 32042.619
30696.987, 31982.574
30754.928, 31930.313
30824.82, 31862.484
30901.527, 31789.095
30963.762, 31725.714
31037.095, 31647.877
31101.103, 31566.705
31159.992, 31492.205
31207.794, 31429.935
