@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
37319.568, 29592.617
37332.161, 29618.57
37333.853, 29619.682
37348.213, 29635.249
37349.812, 29655.264
37330.22, 29667.496
37312.342, 29676.391
37296.147, 29688.623
37279.207, 29679.727
37261.44, 29666.384
37245.387, 29649.705
37234.43, 29633.025
37218.394, 29613.01
37204.9, 29594.107
37193.099, 29576.316
37182.152, 29557.413
37178.005, 29537.398
37174.723, 29514.047
37173.118, 29495.144
37170.691, 29470.681
37167.392, 29450.666
37167.557, 29417.307
37165.152, 29388.397
37161.854, 29368.381
37150.09, 29342.807
37138.321, 29318.344
37128.235, 29297.217
37117.293, 29277.202
37109.748, 29257.187
37102.214, 29234.948
37098.982, 29201.589
37098.242, 29179.35
37097.54, 29149.327
37117.117, 29140.432
37140.097, 29130.424
37160.517, 29122.641
37175.881, 29107.073
37196.313, 29097.066
37215.873, 29091.506
37235.456, 29081.499
37233.856, 29061.483
37227.161, 29041.468
37219.633, 29018.117
37212.082, 28999.214
37213.036, 28978.087
37209.743, 28956.96
37205.744, 28906.923
37208.16, 28933.609
37202.484, 28879.124
37198.374, 28851.325
37195.092, 28827.974
37189.268, 28803.511
37181.729, 28782.384
37170.781, 28763.481
37164.09, 28742.354
37152.343, 28713.443
37144.792, 28694.54
37158.458, 28678.973
37175.526, 28662.294
37190.885, 28647.838
37213.088, 28623.375
37230.146, 28608.92
37246.344, 28596.689
37266.81, 28580.009
37285.572, 28564.442
37304.334, 28548.875
37324.79, 28534.42
37345.251, 28518.852
37366.567, 28502.173
37381.927, 28487.718
37402.394, 28471.038
37418.603, 28456.583
37416.154, 28436.568
37410.308, 28416.553
37392.499, 28410.993
37364.416, 28422.113
37326.962, 28438.792
37294.615, 28453.247
37259.71, 28469.926
37227.364, 28484.382
37203.522, 28496.613
37184.771, 28509.957
37168.573, 28522.188
37150.655, 28538.867
37129.334, 28556.659
37102.09, 28570.002
37072.325, 28577.786
37040.905, 28576.674
37011.19, 28574.45
36975.502, 28577.786
36931.32, 28581.121
36887.988, 28584.457
36841.27, 28585.569
36793.74, 28578.898
36739.432, 28568.89
36690.225, 28557.77
36646.109, 28547.763
36606.228, 28539.979
36566.352, 28531.084
36525.633, 28521.076
36479.79, 28516.628
36439.017, 28517.74
36399.12, 28513.292
36355.852, 28503.285
36305.784, 28494.389
36258.226, 28493.277
36205.557, 28495.501
36155.403, 28504.397
36110.319, 28518.852
36058.409, 28539.979
36013.272, 28565.554
35972.382, 28591.129
35930.643, 28616.704
35887.217, 28640.055
35843.79, 28663.406
35800.364, 28686.757
35766.313, 28703.436
35732.261, 28720.115
35698.215, 28735.682
35661.621, 28751.25
35621.63, 28766.817
35579.946, 28781.272
35539.121, 28793.504
35494.051, 28805.735
35441.326, 28820.19
35381.786, 28839.094
35316.302, 28857.997
35249.958, 28879.124
35187.876, 28896.915
35129.197, 28913.594
