@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
173,25216.204,37046.391,cluster32
174,25167.753,37074.19,cluster32
175,25113.417,37086.421,cluster32
176,25060.766,37101.989,cluster32
177,25018.251,37130.899,cluster32
178,24983.365,37162.034,cluster32
179,24958.7,37180.937,cluster32
180,24934.927,37186.497,cluster32
181,24928.063,37209.848,cluster32
182,24929.642,37245.43,cluster32
183,24931.173,37295.468,cluster32
184,24933.526,37353.289,cluster32
185,24934.186,37409.999,cluster32
186,24939.11,37460.036,cluster33
187,24940.626,37514.522,cluster33
188,24938.734,37573.455,cluster33
189,24935.108,37643.508,cluster33
190,24931.479,37714.673,cluster33
191,24926.987,37790.285,cluster33
192,24924.202,37862.562,cluster33
193,24920.566,37935.951,cluster33
194,24911.833,38011.563,cluster33
195,24902.248,38088.288,cluster33
196,24891.818,38163.9,cluster33
197,24883.1,38235.065,cluster33
198,24875.238,38304.006,cluster33
199,24869.065,38375.171,cluster33
200,24862.895,38445.223,cluster33
201,24857.593,38509.716,cluster33
202,24842.119,38571.986,cluster33
203,24830.083,38620.911,cluster33
204,24830.791,38663.165,cluster33
205,24841.707,38696.524,cluster33
206,24862.049,38700.972,cluster33
207,24894.295,38696.524,cluster33
208,24936.719,38692.076,cluster33
209,24979.18,38676.509,cluster33
210,25025.049,38656.494,cluster33
211,25069.226,38635.367,cluster33
212,25126.144,38608.68,cluster33
213,25193.208,38592.001,cluster33
214,25260.215,38592.001,cluster33
215,25305.174,38590.889,cluster33
216,25321.226,38609.792,cluster33
217,25327.036,38647.598,cluster33
218,25331.96,38696.524,cluster33
219,25335.184,38746.562,cluster33
220,25336.708,38797.711,cluster33
221,25336.539,38847.749,cluster33
222,25335.526,38896.675,cluster33
223,25330.284,38942.265,cluster33
224,25318.259,38986.743,cluster33
225,25306.247,39027.885,cluster33
226,25298.486,39065.691,cluster33
227,25285.678,39091.266,cluster33
228,25257.682,39093.49,cluster33
229,25241.541,39101.273,cluster33
230,25239.774,39122.4,cluster33
231,25237.98,39151.311,cluster33
232,25241.279,39179.11,cluster33
233,25219.191,39190.229,cluster33
234,25187.787,39196.901,cluster33
235,25191.102,39220.252,cluster33
236,25193.542,39251.387,cluster33
237,25194.311,39274.737,cluster33
238,25205.337,39274.737,cluster33
239,25231.647,39269.178,cluster33
240,25233.347,39268.066,cluster33
241,25235.896,39266.954,cluster33
242,25260.51,39261.394,cluster33
243,25283.424,39256.946,cluster33
244,25325.001,39251.387,cluster33
245,25363.185,39245.827,cluster33
246,25405.61,39240.267,cluster33
247,25445.495,39233.595,cluster33
248,25465.85,39233.595,cluster33
249,25471.712,39255.834,cluster33
250,25472.473,39281.409,cluster33
251,25471.519,39312.544,cluster33
252,25471.402,39347.014,cluster33
253,25489.168,39360.358,cluster33
254,25514.622,39357.022,cluster33
255,25537.548,39349.238,cluster33
256,25553.7,39338.119,cluster33
257,25550.398,39311.432,cluster33
258,25544.567,39280.297,cluster33
259,25538.702,39259.17,cluster33
260,25516.768,39224.7,cluster33
261,25510.929,39195.789,cluster33
262,25505.105,39162.431,cluster33
263,25489.051,39144.639,cluster33
264,25459.363,39145.751,cluster33
265,25450.026,39147.975,cluster33
266,25457.651,39150.199,cluster33
267,25459.348,39150.199,cluster33
268,25483.947,39149.087,cluster33
269,25503.424,39157.983,cluster33
270,25508.389,39194.677,cluster33
271,25512.539,39221.364,cluster33
272,25527.737,39241.379,cluster33
273,25542.072,39265.842,cluster33
274,25551.28,39301.424,cluster33
275,25554.59,39325.887,cluster33
276,25540.096,39348.126,cluster33
277,25505.297,39355.91,cluster33
278,25478.998,39358.134,cluster33
279,25471.429,39339.231,cluster33
280,25473.234,39306.984,cluster33
281,25473.344,39274.737,cluster33
282,25468.357,39244.715,cluster33
283,25446.332,39236.931,cluster33
284,25399.659,39244.715,cluster33
285,25351.297,39250.275,cluster33
286,25330.975,39240.267,cluster33
287,25326.021,39200.237,cluster33
288,25321.897,39165.766,cluster33
289,25299.853,39163.543,cluster33
290,25255.698,39179.11,cluster33
291,25200.532,39190.229,cluster33
292,25171.684,39193.565,cluster33
293,25148.751,39203.573,cluster33
294,25133.377,39235.819,cluster33
295,25132.372,39282.521,cluster33
296,25134.779,39323.663,cluster33
297,25120.357,39324.775,cluster33
298,25106.036,39295.865,cluster33
299,25083.315,39242.491,cluster33
300,25055.538,39179.11,cluster33
301,25019.376,39086.818,cluster33
302,24997.594,39005.646,cluster33
303,24975.812,38924.473,cluster33
304,24958.251,38848.861,cluster33
305,24946.602,38781.032,cluster33
306,24945.939,38725.435,cluster33
307,24978.325,38678.733,cluster33
308,25022.512,38654.27,cluster33
309,25039.513,38643.15,cluster33
310,25039.509,38644.262,cluster33
311,25061.596,38634.255,cluster33
312,25093.879,38618.687,cluster33
313,25132.945,38604.232,cluster33
314,25183.029,38592.001,cluster33
315,25242.403,38592.001,cluster33
316,25301.781,38590.889,cluster33
317,25348.514,38566.426,cluster33
318,25391.908,38526.396,cluster33
319,25433.576,38495.261,cluster33
320,25460.763,38481.918,cluster33
321,25505.787,38461.903,cluster33
322,25555.907,38439.664,cluster33
323,25602.631,38418.537,cluster33
324,25646.81,38397.41,cluster33
325,25689.29,38377.394,cluster33
326,25731.769,38357.379,cluster33
327,25770.039,38328.469,cluster33
328,25806.642,38290.662,cluster33
329,25843.262,38248.408,cluster33
330,25877.329,38208.378,cluster33
331,25907.14,38172.796,cluster33
332,25936.096,38139.437,cluster33
333,25966.767,38100.519,cluster33
334,26000.836,38060.489,cluster33
335,26029.819,38019.347,cluster33
336,26048.566,37994.884,cluster33
337,26070.717,37967.085,cluster33
338,26102.242,37927.055,cluster33
339,26134.604,37890.361,cluster33
340,26166.114,37854.778,cluster33
341,26199.337,37814.748,cluster33
342,26233.404,37775.83,cluster33
343,26267.48,37734.688,cluster33
344,26307.513,37687.986,cluster33
345,26350.103,37637.948,cluster33
346,26395.251,37584.575,cluster33
347,26441.255,37528.977,cluster33
348,26486.408,37474.492,cluster33
349,26529.005,37423.342,cluster33
350,26570.75,37373.304,cluster33
351,26611.644,37324.378,cluster33
352,26653.398,37272.117,cluster33
353,26697.705,37217.631,cluster33
354,26746.255,37163.146,cluster33
355,26793.109,37108.66,cluster33
356,26839.115,37054.175,cluster33
357,26881.717,37003.025,cluster33
358,26923.463,36954.099,cluster33
359,26966.065,36902.95,cluster33
360,27008.669,36851.8,cluster33
361,27047.867,36803.986,cluster33
362,27086.217,36756.172,cluster33
363,27126.269,36707.247,cluster33
364,27168.87,36657.209,cluster33
365,27212.32,36607.171,cluster33
366,27251.529,36557.133,cluster33
367,27282.262,36504.872,cluster33
368,27306.24,36443.715,cluster33
369,27333.625,36379.222,cluster33
370,27359.317,36313.617,cluster33
371,27382.476,36244.676,cluster33
372,27404.784,36176.847,cluster33
373,27415.18,36117.914,cluster33
374,27395.847,36067.876,cluster33
375,27342.417,36061.204,cluster33
376,27312.555,36106.794,cluster33
377,27342.082,36153.496,cluster33
378,27398.824,36182.407,cluster33
379,27453.021,36211.317,cluster33
380,27477.598,36219.101,cluster33
381,27518.377,36204.646,cluster33
382,27534.653,36162.392,cluster33
383,27512.719,36127.921,cluster33
384,27477.103,36122.361,cluster33
385,27443.066,36149.048,cluster33
386,27422.512,36201.31,cluster33
387,27401.947,36256.907,cluster33
388,27385.639,36308.057,cluster33
389,27376.997,36351.423,cluster33
390,27375.239,36368.102,cluster33
391,27381.958,36387.005,cluster33
392,27380.282,36381.446,cluster33
393,27381.122,36383.669,cluster33
394,27382.807,36387.005,cluster33
395,27386.192,36389.229,cluster33
396,27390.431,36390.341,cluster33
397,27396.362,36392.565,cluster33
398,27416.704,36398.125,cluster33
399,27429.402,36405.908,cluster33
400,27430.247,36407.02,cluster33
401,27430.247,36407.02,cluster33
402,27430.222,36413.692,cluster33
403,27417.475,36419.252,cluster33
404,27398.846,36409.244,cluster33
405,27384.471,36395.901,cluster33
406,27392.952,36397.013,cluster33
407,27388.734,36390.341,cluster33
408,27369.227,36388.117,cluster33
409,27361.506,36411.468,cluster33
410,27355.491,36432.595,cluster33
411,27340.938,36468.178,cluster33
412,27313.622,36513.767,cluster33
413,27292.306,36542.678,cluster33
414,27250.54,36596.052,cluster33
415,27210.491,36643.866,cluster33
416,27167.037,36695.015,cluster33
417,27123.579,36747.277,cluster33
418,27079.274,36799.538,cluster33
419,27034.961,36854.024,cluster33
420,26989.808,36906.286,cluster33
421,26944.644,36961.883,cluster33
422,26899.481,37017.48,cluster33
423,26852.618,37074.19,cluster33
424,26803.206,37132.011,cluster33
425,26753.792,37190.945,cluster33
426,26703.517,37253.214,cluster33
427,26648.158,37314.371,cluster33
428,26592.783,37379.976,cluster33
429,26534.853,37448.917,cluster33
430,26471.815,37523.417,cluster33
431,26407.921,37600.142,cluster33
432,26345.733,37674.643,cluster33
433,26287.796,37746.919,cluster33
434,26204.085,37912.6,cluster33
435,26239.167,37825.868,cluster33
436,26185.098,38006.003,cluster33
437,26184.757,38103.855,cluster33
438,26203.926,38201.706,cluster33
439,26227.32,38304.006,cluster33
440,26253.242,38410.753,cluster33
441,26279.152,38520.836,cluster33
442,26307.598,38633.143,cluster33
443,26336.043,38745.45,cluster33
444,26364.479,38859.98,cluster33
445,26394.603,38976.735,cluster33
446,26424.726,39093.49,cluster33
447,26453.996,39211.356,cluster33
448,26484.11,39330.335,cluster33
449,26509.13,39450.425,cluster33
450,26528.212,39570.516,cluster33
451,26543.065,39687.271,cluster33
452,26551.985,39802.913,cluster33
453,26557.505,39920.78,cluster33
454,26557.913,40045.318,cluster33
455,26554.061,40175.416,cluster33
456,26543.413,40308.85,cluster33
457,26525.958,40448.956,cluster33
458,26500.852,40594.621,cluster33
459,26468.112,40741.399,cluster33
460,26426.905,40884.84,cluster33
461,26380.617,41027.17,cluster33
462,26333.49,41167.275,cluster2
463,26286.364,41307.381,cluster2
464,26240.088,41447.486,cluster2
465,26196.373,41583.144,cluster2
466,26153.515,41716.578,cluster2
