@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
173,30540.339,31463.294,cluster29
174,30396.468,31770.192,cluster29
175,30261.201,32051.515,cluster28
176,29858.428,32788.737,cluster28
177,29290.911,33349.16,cluster28
178,29152.02,33488.154,cluster28
179,28996.275,33817.29,cluster28
180,28821.837,33934.045,cluster28
181,28904.738,34226.488,cluster37
182,29065.892,34031.897,cluster28
183,29437.527,33623.811,cluster28
184,29885.774,33598.236,cluster28
185,30136.133,33392.526,cluster28
186,30348.483,32933.291,cluster28
187,30676.203,32499.631,cluster28
188,30842.438,32328.39,cluster28
189,31522.817,31825.789,cluster29
190,31865.459,31504.436,cluster29
191,32169.777,31217.553,cluster29
192,32505.662,30900.648,cluster29
193,32930.244,30889.528,cluster2
194,33062.366,31158.62,cluster2
195,33328.144,31151.948,cluster2
196,33598.288,31308.733,cluster2
197,33608.481,31307.621,cluster2
198,33426.626,30388.039,cluster2
199,33186.725,30296.859,cluster2
200,32478.571,30291.299,cluster2
201,31790.565,30742.751,cluster29
202,30730.032,31998.141,cluster29
203,30378.171,32307.263,cluster28
204,28983.69,33779.484,cluster28
205,29265.322,33381.406,cluster28
206,29002.199,33821.738,cluster28
207,28950.816,33720.551,cluster28
208,28808.64,33833.97,cluster28
209,28363.974,34265.406,cluster37
210,28289.829,34347.69,cluster37
211,28251.447,34398.84,cluster37
212,28213.93,34445.542,cluster37
213,28092.909,34582.312,cluster37
214,28094.635,34574.528,cluster37
215,28158.85,34650.141,cluster37
216,28475.676,34575.64,cluster37
217,28846.813,34282.085,cluster37
218,29111.959,33970.739,cluster28
219,29421.344,33638.267,cluster28
220,29590.964,33455.907,cluster28
221,29866.066,33003.344,cluster28
222,29811.23,33132.33,cluster28
223,29522.739,33538.191,cluster28
224,29476.722,33584.893,cluster28
225,29071.295,33731.67,cluster28
226,28963.393,33760.581,cluster28
227,28650.166,33994.09,cluster37
228,28335.867,34292.093,cluster37
229,28271.948,34363.258,cluster37
230,28251.492,34386.609,cluster37
231,28231.89,34408.848,cluster37
232,28279.624,34353.25,cluster37
233,28182.404,34478.9,cluster37
234,28125.319,34538.946,cluster37
235,28105.696,34566.744,cluster37
236,28091.17,34593.431,cluster37
237,28139.148,34699.066,cluster37
238,28155.996,34732.425,cluster37
239,28034.381,34574.528,cluster37
240,28066.894,34048.576,cluster37
241,28426.385,33694.976,cluster28
242,28151.58,33190.151,cluster28
243,27689.872,32716.461,cluster14
244,27268.778,32263.897,cluster14
245,27158.208,32087.097,cluster14
246,27391.45,32379.54,cluster14
247,27841.334,32847.671,cluster14
248,28322.437,33350.272,cluster28
249,28509.799,33632.707,cluster28
250,28039.569,34093.054,cluster37
251,28027.579,34349.914,cluster37
252,28033.454,34367.705,cluster37
253,28002.43,34494.468,cluster37
254,28042.942,34554.513,cluster37
255,28114.733,34646.805,cluster37
256,28100.505,34593.431,cluster37
257,28089.518,34581.2,cluster37
258,28090.367,34581.2,cluster37
259,28119.795,34654.588,cluster37
260,28382.552,34740.208,cluster37
261,28549.603,34998.181,cluster37
262,28690.764,35143.846,cluster37
263,28806.132,34932.576,cluster37
264,28580.157,34773.567,cluster37
265,28406.973,34790.246,cluster37
266,28247.942,34880.314,cluster37
267,27907.131,34790.246,cluster37
268,27721.23,35265.048,cluster37
269,27449.229,36087.891,cluster9
270,27110.845,36749.501,cluster9
271,26633.716,37319.931,cluster9
272,26220.654,38269.535,cluster9
273,26416.319,39072.363,cluster9
274,26513.882,40506.777,cluster9
275,26090.989,41898.938,cluster18
276,25611.875,42919.707,cluster18
277,25347.467,43900.446,cluster18
278,25211.25,45088.008,cluster18
279,24338.374,46388.989,cluster18
280,23566.029,47067.278,cluster18
281,22725.438,47667.731,cluster18
282,22320.097,48083.6,cluster18
283,22289.511,48113.622,cluster18
284,22718.694,47656.611,cluster18
285,23202.517,47355.273,cluster18
286,23717.313,46917.165,cluster18
287,24427.651,46294.473,cluster18
288,24677.827,45972.008,cluster18
289,24873.469,46002.031,cluster18
290,24970.82,46030.941,cluster18
291,25481.532,46103.218,cluster18
292,25423.528,45966.448,cluster18
293,25092.858,46025.381,cluster18
294,24748.14,45977.568,cluster18
295,24986.281,45714.036,cluster18
296,25254.292,44637.669,cluster18
297,25394.807,43436.764,cluster18
298,25647.623,42877.453,cluster18
299,25983.108,42203.612,cluster18
300,26251.367,41374.098,cluster18
301,26446.258,39241.379,cluster9
302,26292.377,38619.799,cluster9
303,26436.119,37542.321,cluster9
304,27164.568,36673.888,cluster9
305,27413.439,36130.145,cluster9
306,27394.209,36284.706,cluster9
307,27486.342,36380.334,cluster9
308,27618.569,36415.916,cluster9
309,28132.149,35889.964,cluster37
310,28534.384,35430.729,cluster37
311,28341.627,35015.972,cluster37
312,28162.889,34704.626,cluster37
313,28080.932,34607.886,cluster37
314,28086.889,34603.439,cluster37
315,28104.719,34601.215,cluster37
316,28253.029,34881.426,cluster37
317,27704.058,35319.534,cluster37
318,26977.832,35987.815,cluster9
319,28447.255,36705.023,cluster9
320,30969.809,37680.202,cluster9
321,33442.88,38763.241,cluster19
322,35215.854,37979.317,cluster19
323,36387.862,36813.994,cluster19
324,36307.939,36146.824,cluster19
325,36199.959,36546.014,cluster19
326,35218.821,36440.379,cluster19
327,34692.526,36129.033,cluster19
328,34141.464,35469.647,cluster19
329,33686.109,34071.927,cluster28
330,33016.784,33227.957,cluster28
331,32119.555,33636.043,cluster28
332,27856.027,36215.765,cluster9
333,28168.826,35838.814,cluster37
334,28546.34,35410.714,cluster37
335,28306.199,34959.262,cluster37
336,28129.913,34672.379,cluster37
337,28103.733,34637.909,cluster37
338,28058.946,34586.759,cluster37
339,28094.456,34622.342,cluster37
340,28118.14,34643.469,cluster37
341,28103.034,34597.879,cluster37
342,28189.229,34922.568,cluster37
343,27727.239,35246.145,cluster37
344,27064.202,36036.741,cluster9
345,28156.317,36460.394,cluster9
346,30701.379,37562.336,cluster9
347,33323.286,38763.241,cluster19
348,35256.192,37879.241,cluster19
349,36350.94,36905.174,cluster19
350,36331.176,36078.995,cluster19
351,36200.055,36525.999,cluster19
352,35057.943,36370.326,cluster19
353,34570.893,36194.638,cluster19
354,33994.721,35081.577,cluster19
355,33274.696,33448.123,cluster28
356,32552.118,33313.577,cluster28
357,31640.302,33969.628,cluster28
358,31032.99,34085.27,cluster28
359,30699.629,34040.792,cluster28
360,30348.854,33894.015,cluster28
361,30118.2,33843.977,cluster28
362,29855.908,33638.267,cluster28
363,29458.92,33579.333,cluster28
364,29159.931,33637.155,cluster28
365,28952.462,33733.894,cluster28
366,28972.72,33762.805,cluster28
367,29139.363,33907.358,cluster28
368,29428.143,33636.043,cluster28
369,29778.61,33653.834,cluster28
370,29994.75,33727.223,cluster28
371,30282.644,33896.239,cluster28
372,30644.626,34000.762,cluster28
373,30336.123,33894.015,cluster28
374,30086.135,33797.275,cluster28
375,29776.028,33662.73,cluster28
376,29476.7,33590.453,cluster28
377,29095.995,33709.431,cluster28
378,28815.426,33835.082,cluster28
379,28376.759,34250.951,cluster37
380,28323.919,34309.884,cluster37
381,28284.733,34348.802,cluster37
382,28273.646,34363.258,cluster37
383,28253.177,34389.944,cluster37
384,28236.998,34404.4,cluster37
385,28328.939,34328.787,cluster37
386,28661.381,34392.168,cluster37
387,28961.561,34236.495,cluster37
388,29212.659,34047.464,cluster28
389,29399.951,34117.517,cluster28
390,29341.52,34084.158,cluster28
391,29174.807,33959.62,cluster28
392,28974.418,33762.805,cluster28
